date,equity
2024-07-08,103447.96089141746
2024-07-09,103465.58301041731
2024-07-10,103483.00161143353
2024-07-11,103500.21910095235
2024-07-12,103517.23792473185
2024-07-15,103534.06056729499
2024-07-16,103550.68955141479
2024-07-17,103567.1274375912
2024-07-18,103583.37682352029
2024-07-19,103599.44034355546
2024-07-22,103615.320668161
2024-07-23,103631.02050335822
2024-07-24,103646.54259016388
2024-07-25,103661.88970402145
2024-07-26,103677.06465422512
2024-07-29,103692.07028333662
2024-07-30,103706.90946659527
2024-07-31,103721.58511132088
2024-08-01,103736.10015631028
2024-08-02,103750.45757122689
2024-08-05,103764.66035598425
2024-08-06,103778.71154012272
2024-08-07,103792.61418218046
2024-08-08,103806.371369058
2024-08-09,103770.770593849
2024-08-12,103799.60132674893
2024-08-13,103828.38509759246
2024-08-14,103857.12482116318
2024-08-15,103885.82342556868
2024-08-16,103914.48385161051
2024-08-19,103943.10905215019
2024-08-20,103971.70199147225
2024-08-21,104000.26564464372
2024-08-22,104028.80299687055
2024-08-23,104057.31704285125
2024-08-26,104085.81078612746
2024-08-27,104114.2872384319
2024-08-28,104142.74941903385
2024-08-29,104171.20035408219
2024-08-30,104199.64307594615
2024-09-02,104228.08062255388
2024-09-03,104256.51603672939
2024-09-04,104284.9523655271
2024-09-05,104313.39265956536
2024-09-06,104341.83997235789
2024-09-09,104370.29735964423
2024-09-10,104398.76787871882
2024-09-11,104427.25458775893
2024-09-12,104455.76054515183
2024-09-13,104484.288808821
2024-09-16,104512.84243555195
2024-09-17,104541.42448031728
2024-09-18,104570.03799560163
2024-09-19,104598.68603072641
2024-09-20,104627.37163117442
2024-09-23,104656.09783791471
2024-09-24,104684.8676867277
2024-09-25,104713.68420753053
2024-09-26,104742.55042370348
2024-09-27,104771.46935141648
2024-09-30,104800.44399895708
2024-10-01,104829.47736605909
2024-10-02,104858.57244323258
2024-10-03,104887.7322110952
2024-10-04,104916.95963970489
2024-10-07,104946.2576878944
2024-10-08,104975.62930260744
2024-10-09,105005.07741823695
2024-10-10,105034.60495596525
2024-10-11,105064.21482310654
2024-10-14,105093.90991245193
2024-10-15,105123.69310161678
2024-10-16,105153.56725239084
2024-10-17,105183.53521009121
2024-10-18,105213.59980291835
2024-10-21,105243.76384131511
2024-10-22,105274.03011732912
2024-10-23,105304.40140397855
2024-10-24,105334.88045462155
2024-10-25,105365.47000232927
2024-10-28,105396.17275926279
2024-10-29,105426.99141605408
2024-10-30,105457.92864119107
2024-10-31,105488.98708040708
2024-11-01,105520.16935607448
2024-11-04,105551.47806660316
2024-11-05,105582.9157858436
2024-11-06,105614.48506249467
2024-11-07,105646.18841951668
2024-11-08,105678.02835354919
2024-11-11,105710.00733433448
2024-11-12,105742.12780414594
2024-11-13,105774.39217722244
2024-11-14,105806.80283920805
2024-11-15,105839.36214659759
2024-11-18,105872.07242618814
2024-11-19,105904.93597453661
2024-11-20,105937.95505742343
2024-11-21,105971.13190932237
2024-11-22,106004.46873287718
2024-11-25,106037.9676983844
2024-11-26,106071.63094328277
2024-11-27,106105.46057164995
2024-11-28,106139.4586537055
2024-11-29,106173.62722532128
2024-12-02,106207.96828753874
2024-12-03,106242.48380609373
2024-12-04,106277.17571094829
2024-12-05,106312.04589583035
2024-12-06,106347.09621778052
2024-12-09,106382.3284967071
2024-12-10,106417.74451494832
2024-12-11,106453.34601684297
2024-12-12,106489.13470830867
2024-12-13,106525.1122564285
2024-12-16,106561.28028904562
2024-12-17,106597.64039436635
2024-12-18,106634.19412057148
2024-12-19,106670.94297543625
2024-12-20,106707.88842595887
2024-12-23,106745.03189799748
2024-12-24,106782.37477591619
2024-12-25,106819.9184022398
2024-12-26,106857.66407731746
2024-12-27,106895.61305899535
2024-12-30,106933.76656229851
2024-12-31,106972.12575912176
2025-01-01,107010.69177792988
2025-01-02,107049.4657034672
2025-01-03,107088.44857647648
2025-01-06,107127.64139342739
2025-01-07,107167.0451062543
2025-01-08,107206.66062210398
2025-01-09,107246.48880309268
2025-01-10,107286.53046607319
2025-01-13,107326.78638241137
2025-01-14,107367.25727777308
2025-01-15,107407.94383192023
2025-01-16,107448.84667851761
2025-01-17,107489.96640494911
2025-01-20,107531.30355214432
2025-01-21,107572.85861441513
2025-01-22,107614.63203930264
2025-01-23,107656.62422743384
2025-01-24,107698.83553238917
2025-01-27,107741.26626057975
2025-01-28,107783.91667113526
2025-01-29,107826.7869758021
2025-01-30,107869.8773388519
2025-01-31,107913.1878770004
2025-02-03,107956.71865933684
2025-02-04,108000.46970726369
2025-02-05,108044.4409944471
2025-02-06,108088.63244677748
2025-02-07,108133.04394234088
2025-02-10,108177.67531140089
2025-02-11,108222.5263363909
2025-02-12,108267.59675191707
2025-02-13,108312.88624477177
2025-02-14,108358.39445395769
2025-02-17,108404.12097072243
2025-02-18,108450.06533860374
2025-02-19,108496.22705348511
2025-02-20,108542.60556366235
2025-02-21,108589.20026992026
2025-02-24,108636.01052562022
2025-02-25,108683.03563679801
2025-02-26,108730.27486227252
2025-02-27,108777.72741376454
2025-02-28,108825.39245602649
2025-03-03,108873.26910698225
2025-03-04,108921.35643787759
2025-03-05,108969.65347344117
2025-03-06,109018.15919205567
2025-03-07,109066.87252593943
2025-03-10,109115.79236133848
2025-03-11,109164.9175387287
2025-03-12,109214.24685302847
2025-03-13,109263.77905382129
2025-03-14,109313.51284558888
2025-03-17,109363.44688795399
2025-03-18,109413.57979593397
2025-03-19,109463.91014020354
2025-03-20,109514.43644736844
2025-03-21,109565.15720024818
2025-03-24,109616.07083816937
2025-03-25,109667.17575726852
2025-03-26,109718.47031080458
2025-03-27,109769.95280948145
2025-03-28,109821.62152177982
2025-03-31,109873.47467429892
2025-04-01,109925.51045210745
2025-04-02,109977.72699910414
2025-04-03,110030.12241838768
2025-04-04,110082.69477263588
2025-04-07,110135.44208449403
2025-04-08,110188.36233697251
2025-04-09,110241.45347385325
2025-04-10,110294.71340010538
2025-04-11,110348.13998230963
2025-04-14,110401.73104909158
2025-04-15,110455.48439156351
2025-04-16,110509.39776377514
2025-04-17,110563.46888317249
2025-04-18,110617.69543106557
2025-04-21,110672.07505310404
2025-04-22,110726.60535976144
2025-04-23,110781.28392682727
2025-04-24,110836.10829590727
2025-04-25,110891.07597493147
2025-04-28,110946.18443867029
2025-04-29,111001.43112925802
2025-04-30,111056.8134567242
2025-05-01,111112.32879953223
2025-05-02,111167.97450512566
2025-05-05,111223.74789048135
2025-05-06,111279.64624267
2025-05-07,111335.66681942376
2025-05-08,111391.80684971047
2025-05-09,111448.06353431498
2025-05-12,111504.43404642677
2025-05-13,111560.91553223453
2025-05-14,111617.5051115267
2025-05-15,111674.19987829856
2025-05-16,111730.99690136535
2025-05-19,111787.89322498142
2025-05-20,111844.88586946522
2025-05-21,111901.97183183009
2025-05-22,111959.14808642058
2025-05-23,112016.41158555432
2025-05-26,112073.75926016913
2025-05-27,112131.18802047533
2025-05-28,112188.69475661317
2025-05-29,112246.27633931511
2025-05-30,112303.92962057283
2025-06-02,112361.65143430894
2025-06-03,112419.43859705309
2025-06-04,112477.28790862238
2025-06-05,112535.19615280605
2025-06-06,112593.16009805413
2025-06-09,112651.17649816995
2025-06-10,112709.24209300641
2025-06-11,112767.35360916588
2025-06-12,112825.50776070333
2025-06-13,112883.70124983299
2025-06-16,112941.93076763787
2025-06-17,113000.19299478251
2025-06-18,113058.48460222826
2025-06-19,113116.80225195136
2025-06-20,113175.14259766354
2025-06-23,113233.5022855348
2025-06-24,113291.8779549186
2025-06-25,113350.26623907877
2025-06-26,113408.66376591852
2025-06-27,113467.067158711
2025-06-30,113525.47303683154
2025-07-01,113583.87801649104
2025-07-02,113642.27871147083
2025-07-03,113700.67173385828
2025-07-04,113759.05369478374
2025-07-07,113817.42120515765
2025-07-08,113875.77087640864
2025-07-09,113934.09932122187
2025-07-10,113992.40315427765
2025-07-11,114050.67899299001
2025-07-14,114108.92345824535
2025-07-15,114167.13317514074
2025-07-16,114225.3047737219
2025-07-17,114283.43488972029
2025-07-18,114341.52016528997
2025-07-21,114399.55724974311
2025-07-22,114457.54280028456
2025-07-23,114515.47348274535
2025-07-24,114573.3459723145
2025-07-25,114631.15695426957
2025-07-28,114688.90312470522
2025-07-29,114746.58119126006
2025-07-30,114804.1878738414
2025-07-31,114861.71990534777
2025-08-01,114919.17403238913
2025-08-04,114976.54701600448
2025-08-05,115033.83563237678
2025-08-06,115091.03667354508
2025-08-07,115148.14694811369
2025-08-08,115205.16328195788
2025-08-11,115262.0825189267
2025-08-12,115318.90152154202
2025-08-13,115375.61717169386
2025-08-14,115432.2263713323
2025-08-15,115488.726043155
2025-08-18,115545.11313129088
2025-08-19,115601.38460197952
2025-08-20,115657.53744424605
2025-08-21,115713.56867057152
2025-08-22,115769.47531755855
2025-08-25,115825.25444659218
2025-08-26,115880.90314449565
2025-08-27,115936.41852418087
2025-08-28,115991.79772529396
2025-08-29,116047.03791485494
2025-09-01,116102.136287892
2025-09-02,116157.09006807006
2025-09-03,116211.89650831341
2025-09-04,116266.55289142218
2025-09-05,116321.05653068295
2025-09-08,116375.40477047279
2025-09-09,116429.59498685686
2025-09-10,116483.62458817975
2025-09-11,116537.49101564955
2025-09-12,116591.19174391574
2025-09-15,116644.72428163956
2025-09-16,116698.08617205753
2025-09-17,116751.27499353766
2025-09-18,116804.28836012838
2025-09-19,116857.12392209988
2025-09-22,116909.77936647786
2025-09-23,116962.25241756966
2025-09-24,117014.54083748236
2025-09-25,117066.64242663303
2025-09-26,117118.55502425082
2025-09-29,117170.27650887094
2025-09-30,117221.80479882022
2025-10-01,117273.13785269426
2025-10-02,117324.27366982604
2025-10-03,117375.21029074605
2025-10-06,117425.94579763329
2025-10-07,117476.47831475775
2025-10-08,117526.80600891387
2025-10-09,117576.92708984473
2025-10-10,117626.83981065734
2025-10-13,117676.5424682285
2025-10-14,117726.03340360141
2025-10-15,117775.3110023727
2025-10-16,117824.37369507014
2025-10-17,117873.21995752052
2025-10-20,117921.84831120785
2025-10-21,117970.25732362193
2025-10-22,118018.44560859687
2025-10-23,118066.41182663961
2025-10-24,118114.1546852487
2025-10-27,118161.67293922257
2025-10-28,118208.96539095804
2025-10-29,118256.03089073807
2025-10-30,118302.86833700971
2025-10-31,118349.47667665132
2025-11-03,118395.85490522944
2025-11-04,118442.00206724508
2025-11-05,118487.91725636958
2025-11-06,118533.59961566974
2025-11-07,118579.04833782215
2025-11-10,118624.26266531702
2025-11-11,118669.241890651
2025-11-12,118713.98535650923
2025-11-13,118758.4924559367
2025-11-14,118802.76263249826
2025-11-17,118846.79538042795
2025-11-18,118890.59024476746
2025-11-19,118934.14682149317
2025-11-20,118977.46475763219
2025-11-21,119020.54375136775
2025-11-24,119063.38355213274
2025-11-25,119105.98396069267
2025-11-26,119148.34482921702
2025-11-27,119190.46606133977
2025-11-28,119232.34761220838
2025-12-01,119273.98948852165
2025-12-02,119315.39174855631
2025-12-03,119356.55450218247
2025-12-04,119397.47791086743
2025-12-05,119438.1621876687
2025-12-08,119478.60759721529
2025-12-09,119518.81445567797
2025-12-10,119558.78313072813
2025-12-11,119598.51404148541
2025-12-12,119638.00765845395
2025-12-15,119677.26450344757
2025-12-16,119716.28514950344
2025-12-17,119755.07022078475
2025-12-18,119793.62039247187
2025-12-19,119831.93639064257
2025-12-22,119870.01899214089
2025-12-23,119907.86902443491
2025-12-24,119945.4873654633
2025-12-25,119982.87494347093
2025-12-26,120020.0327368331
2025-12-29,120056.96177386912
2025-12-30,120093.66313264449
2025-12-31,120130.13794076232
